x,y,z,predicted_z,difference
-49.884,-26.4435,0,0,0
-22.9767,-13.9984,0,-1.99128,1.99128
-42.5354,-48.1995,0,0,0
22.8982,-11.496,1.4604,1.47404,0.0136467
-15.1643,-8.78601,-4.56696,-5.09598,0.529019
24.4263,-14.4501,0,0.525556,0.525556
30.9631,48.0652,0,0,0
-47.0215,49.2645,0,0,0
-27.536,38.9069,0,0,0
-40.7867,23.1628,0,0,0
38.1378,-43.1641,0,0,0
3.96715,14.8102,4.10671,0.22574,3.88097
-11.9873,-47.3541,0,0,0
36.4014,4.58679,0.470419,0.412526,0.0578929
46.4264,12.8174,0,-0.0649402,0.0649402
13.4701,15.2863,1.40007,2.09096,0.690892
45.3644,22.1313,0,0,0
29.7944,9.87549,0.512907,1.82518,1.31227
-0.152588,-31.7871,0,0.0980603,0.0980603
-23.8403,37.4359,0,0,0
16.0699,-1.41296,5.88174,4.69676,1.18498
-22.702,30.2155,0,0,0
16.0858,29.0588,0,0.438651,0.438651
-28.4712,2.0813,-2.76679,-2.41322,0.353572
-26.7181,39.7339,0,0,0
-39.1205,26.8768,0,0,0
-14.3951,38.9893,0,0,0
-11.3048,-7.2113,-6.04861,-5.8117,0.236907
3.88266,-14.9231,4.04495,2.70765,1.3373
42.2058,24.9237,0,0.0292327,0.0292327
-12.7319,44.9432,0,0,0
32.1777,-46.637,0,0,0
-7.9834,-1.34888,-7.88618,-3.20301,4.68317
-13.9313,21.7285,0,0,0
-49.2706,-37.2253,0,0,0
-40.7745,-18.4601,0,0.0242413,0.0242413
36.2244,36.8835,0,0,0
-23.2022,13.5437,-0.210804,-0.665593,0.454789
-30.3589,-47.8058,0,0,0
1.92261,-44.5099,0,0,0
-20.3217,48.5046,0,0,0
-12.3749,-28.1006,0,-0.753076,0.753076
-41.4429,38.3087,0,0,0
-29.2145,-13.1897,0,-0.396162,0.396162
-49.6368,7.2113,0,0.0630061,0.0630061
42.3096,48.1323,0,0,0
-30.5054,14.8651,0,-0.294086,0.294086
-25.1063,0.332642,-3.68313,-3.31703,0.366102
47.6593,-31.9122,0,0,0
-22.2809,17.9901,0,-0.0753325,0.0753325
14.8132,-42.5629,0,0,0
-46.5149,-49.1425,0,0,0
6.32629,-45.9625,0,0,0
-10.1326,-9.67712,-5.46146,-5.13817,0.323288
0.881958,-40.3809,0,0,0
-4.08325,27.9144,0,-0.0361021,0.0361021
-24.4326,-3.97949,-3.53651,-3.08509,0.451423
-44.1711,-15.0513,0,0.00380101,0.00380101
-39.4806,7.49512,0,-0.315752,0.315752
32.3863,-2.58484,1.75133,0.942578,0.808753
-24.472,48.526,0,0,0
-32.1381,35.7544,0,0,0
-42.8864,8.78906,0,0.0447343,0.0447343
19.821,-6.86035,4.04323,3.53378,0.509445
16.0767,-24.353,0,1.06384,1.06384
-3.5905,-14.679,-4.29477,-1.00161,3.29316
34.1339,-10.8459,0,0.806797,0.806797
-38.3331,14.3738,0,0.0351053,0.0351053
32.1899,-6.47278,1.08879,1.34265,0.253859
29.9683,-31.1798,0,0,0
-47.4365,6.72302,0,-0.0130537,0.0130537
40.1276,-29.01,0,0,0
-32.9163,25.5981,0,0,0
30.0728,-7.39441,1.34927,1.22189,0.127374
24.062,-12.6587,0.537184,0.80092,0.263736
-2.33459,28.5126,0,0.122615,0.122615
-11.2427,24.2279,0,0.00579686,0.00579686
-19.1376,-46.3898,0,0,0
4.69901,-11.1115,6.15657,2.40035,3.75622
13.6036,-8.87756,4.91892,4.10444,0.814478
14.0137,47.3236,0,0,0
24.2706,35.0098,0,-0.00541642,0.00541642
38.1073,4.94385,0,0.432256,0.432256
-48.0957,-28.4393,0,0,0
-5.87769,39.3311,0,0,0
49.4293,-48.6725,0,0,0
-44.6045,-21.7896,0,0.015792,0.015792
44.0155,39.4043,0,0,0
22.1436,-46.759,0,0,0
25.7324,31.0425,0,0.0481253,0.0481253
-18.1091,43.4204,0,0,0
-40.8539,-5.2002,0,-0.363077,0.363077
-36.2356,0.973511,-0.912704,-1.43369,0.520985
-41.6168,33.5419,0,0,0
-4.46167,19.5007,0,1.49991,1.49991
3.479,-39.0839,0,0,0
31.8298,-20.575,0,-0.113428,0.113428
-19.9482,-3.22266,-4.75518,-4.399,0.356186
-7.25175,-13.8641,-3.94972,-4.3735,0.423783
46.6614,25.824,0,0,0
