x,y,z,predicted_z,difference
14.8132,-42.5629,0,0,0
-22.702,30.2155,0,0,0
-40.8539,-5.2002,0,-0.423978,0.423978
40.1276,-29.01,0,-0.391397,0.391397
30.0728,-7.39441,1.34927,1.023,0.326269
38.1378,-43.1641,0,0.0263473,0.0263473
-28.4712,2.0813,-2.76679,-2.14322,0.62357
16.0767,-24.353,0,-0.472029,0.472029
38.1073,4.94385,0,0.37725,0.37725
13.4701,15.2863,1.40007,3.62567,2.2256
-22.9767,-13.9984,0,-2.14496,2.14496
14.0137,47.3236,0,0.0572447,0.0572447
24.4263,-14.4501,0,0.930621,0.930621
-42.8864,8.78906,0,-0.339777,0.339777
32.1777,-46.637,0,0.0116746,0.0116746
-20.3217,48.5046,0,0,0
-42.5354,-48.1995,0,0,0
3.96715,14.8102,4.10671,0.734703,3.37201
-7.9834,-1.34888,-7.88618,-3.3721,4.51408
-41.4429,38.3087,0,0,0
-18.1091,43.4204,0,0,0
-46.5149,-49.1425,0,0,0
36.4014,4.58679,0.470419,0.431528,0.0388907
-26.7181,39.7339,0,0,0
-41.6168,33.5419,0,0,0
-32.1381,35.7544,0,0,0
16.0699,-1.41296,5.88174,3.5106,2.37115
-47.4365,6.72302,0,0.132256,0.132256
-12.7319,44.9432,0,0,0
-40.7745,-18.4601,0,0.0774328,0.0774328
-24.472,48.526,0,0,0
22.8982,-11.496,1.4604,1.51735,0.0569489
-32.9163,25.5981,0,0,0
-13.9313,21.7285,0,0.0455638,0.0455638
34.1339,-10.8459,0,0.391246,0.391246
16.0858,29.0588,0,0.520402,0.520402
6.32629,-45.9625,0,0.00116131,0.00116131
46.4264,12.8174,0,-0.0455864,0.0455864
-15.1643,-8.78601,-4.56696,-4.05838,0.508576
-36.2356,0.973511,-0.912704,-0.948717,0.0360135
-11.9873,-47.3541,0,-0.379291,0.379291
-12.3749,-28.1006,0,-1.08855,1.08855
24.2706,35.0098,0,-0.212885,0.212885
0.881958,-40.3809,0,-0.804139,0.804139
-48.0957,-28.4393,0,0.0130277,0.0130277
-49.884,-26.4435,0,0.015757,0.015757
19.821,-6.86035,4.04323,3.34458,0.698646
-10.1326,-9.67712,-5.46146,-4.69273,0.768726
-49.2706,-37.2253,0,0,0
-3.5905,-14.679,-4.29477,-2.62186,1.67291
